dataset,source,K,any_cycle,cyclic_triples,total_triples,cyclic_triple_share,total_pairs,oriented_pairs,tied_pairs,reversed_pairs,reversed_pair_share
moreno_sheep,Agony,13,FALSE,0,286,0,78,63,15,0,0
moreno_sheep,WST,4,FALSE,0,4,0,6,6,0,0,0
moreno_sheep,SST,5,FALSE,0,10,0,10,8,2,0,0
moreno_sheep,DCSBM,5,TRUE,1,10,0.1,10,10,0,1,0.1
strauss_2019b,Agony,7,FALSE,0,35,0,21,21,0,0,0
strauss_2019b,WST,14,TRUE,2,364,0.005494505494505495,91,59,32,2,0.02197802197802198
strauss_2019b,SST,7,FALSE,0,35,0,21,14,7,0,0
strauss_2019b,DCSBM,6,TRUE,3,20,0.15,15,15,0,3,0.2
mountain_goats,Agony,26,TRUE,1,2600,3.846153846153846e-4,325,244,81,1,0.003076923076923077
mountain_goats,WST,4,FALSE,0,4,0,6,6,0,0,0
mountain_goats,SST,6,FALSE,0,20,0,15,15,0,0,0
mountain_goats,DCSBM,4,FALSE,0,4,0,6,6,0,0,0
citations_data,Agony,4,FALSE,0,4,0,6,6,0,0,0
citations_data,WST,13,TRUE,16,286,0.055944055944055944,78,71,7,11,0.14102564102564102
citations_data,SST,5,FALSE,0,10,0,10,10,0,0,0
citations_data,DCSBM,11,TRUE,5,165,0.030303030303030304,55,53,2,9,0.16363636363636364
macaques_data,Agony,33,FALSE,0,5456,0,528,463,65,0,0
macaques_data,WST,9,FALSE,0,84,0,36,36,0,0,0
macaques_data,SST,10,FALSE,0,120,0,45,45,0,0,0
macaques_data,DCSBM,11,FALSE,0,165,0,55,55,0,2,0.03636363636363636
high_school,Agony,8,TRUE,4,56,0.07142857142857142,28,25,3,1,0.03571428571428571
high_school,WST,9,TRUE,4,84,0.047619047619047616,36,21,15,6,0.16666666666666666
high_school,SST,12,TRUE,2,220,0.00909090909090909,66,29,37,2,0.030303030303030304
high_school,DCSBM,8,TRUE,3,56,0.05357142857142857,28,18,10,7,0.25
