dataset,model1,K1,model2,K2,VI,VI_norm
citations_data,DCSBM,11,SST,5,2.1463601263440104,0.5574747641858447
citations_data,DCSBM,11,WST,13,1.7165540522765292,0.4458411026928201
citations_data,SST,5,WST,13,1.8971722850992714,0.49275313088169265
high_school,DCSBM,8,SST,12,0.34568106842864754,0.08136553031936558
high_school,DCSBM,8,WST,9,0.09614452385846484,0.022630253391101203
high_school,SST,12,WST,9,0.2495365445701827,0.05873527692826437
macaques_data,DCSBM,11,SST,10,0.533291471269635,0.12921592114907798
macaques_data,DCSBM,11,WST,9,0.2467158780771488,0.059778978598598084
macaques_data,SST,10,WST,9,0.4330116691213881,0.10491823835211928
moreno_sheep,DCSBM,5,SST,5,0.7840859327412457,0.23530546529991322
moreno_sheep,DCSBM,5,WST,4,1.034750159168908,0.3105302078576509
moreno_sheep,SST,5,WST,4,0.9887036536608178,0.29671157656791985
mountain_goats,DCSBM,4,SST,6,0.7556041983937769,0.1984951911088307
mountain_goats,DCSBM,4,WST,4,0.3019940188436725,0.07933301669250266
mountain_goats,SST,6,WST,4,0.7465734565282673,0.19612283950430104
strauss_2019b,DCSBM,6,SST,7,0.1761900312578062,0.04955633828548317
strauss_2019b,DCSBM,6,WST,14,1.1643681909428025,0.32749766571518824
strauss_2019b,SST,7,WST,14,1.15222468700036,0.32408210590714087
