Gen,$K^\star$,Density,Hierarchy,Rep,ELPD WST$-$SST (SE),Sig. WST$-$SST,ELPD WST$-$DC (SE),Sig. WST$-$DC,ELPD SST$-$DC (SE),Sig. SST$-$DC,VI WST,VI SST,VI DC,$\hat K$ W/S/DC
WST,10,kappa_0.3,app_sparse_hetero,1,-19.4 (6.1),\checkmark,5.9 (7.1),,25.3 (10.1),\checkmark,1.667,1.603,2.233,6/7/5
WST,10,kappa_0.3,app_sparse_hetero,2,14.2 (9.1),,42.7 (9.6),\checkmark,28.6 (12.2),\checkmark,1.061,1.119,1.604,7/8/6
WST,10,kappa_0.3,app_sparse_hetero,3,10.6 (9.5),,94.0 (12.4),\checkmark,83.4 (13.6),\checkmark,0.338,0.782,1.632,10/10/5
WST,10,kappa_0.3,app_sparse_hetero,4,22.6 (8.2),\checkmark,11.1 (6.9),,-11.5 (8.8),,1.607,1.910,2.070,7/7/6
WST,10,kappa_0.3,app_sparse_hetero,5,88.6 (15.0),\checkmark,40.5 (5.9),\checkmark,-48.2 (13.6),\checkmark,1.246,2.131,1.159,10/7/8
WST,10,kappa_0.3,app_sparse_hetero,6,6.7 (5.1),,38.2 (4.7),\checkmark,31.5 (7.1),\checkmark,2.185,2.499,2.409,6/5/4
WST,10,kappa_0.3,app_sparse_hetero,7,-13.8 (6.8),\checkmark,2.5 (8.5),,16.3 (8.0),\checkmark,1.679,1.727,1.869,6/7/5
WST,10,kappa_0.3,app_sparse_hetero,8,31.6 (7.8),\checkmark,128.0 (12.0),\checkmark,96.5 (11.9),\checkmark,0.898,1.139,1.931,12/10/6
WST,10,kappa_0.3,app_sparse_hetero,9,-8.1 (5.8),,2.1 (4.4),,10.2 (7.9),,1.781,1.527,1.785,4/6/4
WST,10,kappa_0.3,app_sparse_hetero,10,36.1 (9.8),\checkmark,112.3 (14.3),\checkmark,76.2 (12.1),\checkmark,0.294,0.564,1.371,10/9/5
