gen_model,K_true,fit_model,n,ari,vi,exact_K,K_abs_err,K_hat_mean
WST,3,WST,36,0.9434432878097977,0.24759256428569348,0.8611111111111112,0.19444444444444436,2.8055555555555554
WST,3,SST,36,0.9347932789029153,0.2847229136096054,0.7777777777777778,0.27777777777777785,2.833333333333333
WST,3,DC-SBM,36,0.9343467534197372,0.2680710709720132,0.8333333333333334,0.22222222222222213,2.7777777777777777
WST,5,WST,36,0.9381733647622258,0.3182651015536796,0.7222222222222222,0.47222222222222215,4.638888888888889
WST,5,SST,36,0.932985230675757,0.31465411914712,0.7222222222222222,0.47222222222222215,4.694444444444445
WST,5,DC-SBM,36,0.9427553044792625,0.3207041880057347,0.75,0.44444444444444436,4.555555555555555
WST,8,WST,36,0.9072823605316902,0.32575638577654226,0.75,0.38888888888888895,7.611111111111111
WST,8,SST,36,0.8887514266045973,0.3680961516399438,0.7222222222222222,0.44444444444444436,7.611111111111111
WST,8,DC-SBM,36,0.8784401928017705,0.5282401400069967,0.5,1.1666666666666665,6.833333333333333
SST,3,WST,44,0.933666842232515,0.28574480120831963,0.7954545454545454,0.2727272727272727,2.772727272727273
SST,3,SST,44,0.9353699631044905,0.2879936933836279,0.8409090909090909,0.22727272727272727,2.772727272727273
SST,3,DC-SBM,44,0.937515797888167,0.31678597371471795,0.7727272727272727,0.31818181818181823,2.6818181818181817
SST,5,WST,36,0.8961325539935977,0.37715014936785646,0.6666666666666666,0.44444444444444436,4.555555555555555
SST,5,SST,36,0.901420776898636,0.3834991705333712,0.6666666666666666,0.47222222222222215,4.527777777777778
SST,5,DC-SBM,36,0.8956159506672463,0.4365158899846685,0.5555555555555556,0.6666666666666667,4.333333333333333
SST,8,WST,36,0.9065086895723706,0.41783846962206433,0.7222222222222222,0.6666666666666666,7.5
SST,8,SST,36,0.9031630989928676,0.4419263148046522,0.6666666666666666,0.8055555555555557,7.361111111111111
SST,8,DC-SBM,36,0.8053365133016396,0.7953530944928104,0.3055555555555556,1.8333333333333335,6.166666666666667
