gen_model,kappa_mean,fit_model,n_scenarios,ari,vi,nvi,exact_K,K_abs_err,looic,pk_bad
WST,0.75,WST,9,0.8139129416281871,0.8498036514372226,0.3643668009763192,0.4444444444444444,1.037037037037037,5363.852377987331,0.008683825068005859
WST,0.75,SST,9,0.8072676596939329,0.8509303348869266,0.3639059472506588,0.3333333333333333,1.1111111111111112,5365.0425235836465,0.01211550533584432
WST,0.75,DC-SBM,9,0.8261830512290002,0.9892104784974004,0.40994879650017496,0.4074074074074074,1.5925925925925926,5379.069923543992,0.02412638627327893
WST,1.5,WST,9,0.9224972249486404,0.20976010818226196,0.097273377056992,0.7777777777777778,0.22222222222222224,7427.899845130483,0.006800585896631094
WST,1.5,SST,9,0.9178910569633585,0.25694790156618247,0.1162769081814214,0.8518518518518519,0.1851851851851852,7446.6716925083465,0.01362209667294413
WST,1.5,DC-SBM,9,0.8801806749187735,0.3291361788849137,0.14699869936026305,0.6666666666666666,0.4814814814814815,7437.158209345721,0.009960242728604308
WST,3,WST,9,0.9837064666926045,0.12305005702221482,0.07151190352612735,0.8888888888888888,0.14814814814814817,9894.160781564558,0.00332705586942875
WST,3,SST,9,0.9808544774028972,0.1327306282422814,0.07921732154502678,0.8518518518518519,0.1851851851851852,9925.770286892797,0.005921740949989538
WST,3,DC-SBM,9,0.9799045216768483,0.14384671410351788,0.07844412255322836,0.7777777777777778,0.25925925925925924,9901.0663822538,0.0023017367650136015
WST,6,WST,9,0.9984153842021862,0.0062049188461877035,0.0026723130918008793,1,0,12567.103755680722,0.0016112157355095207
WST,6,SST,9,0.9693600541841707,0.04935538116683527,0.02440386029098276,0.9259259259259259,0.11111111111111112,12708.206574660571,0.011111111111111113
WST,6,DC-SBM,9,0.9877880864430717,0.027160493827160636,0.00905349794238692,0.9259259259259259,0.1111111111111111,12589.339516415259,3.138731952291274e-4
SST,0.75,WST,9,0.8000928631683254,0.9309804218710583,0.3992351848859982,0.41666666666666663,1.2222222222222223,5540.026201898968,0.009620213433772753
SST,0.75,SST,9,0.8184989588514393,0.9517934098065159,0.40621999894029664,0.4444444444444444,1.3796296296296298,5537.463947722397,0.010718769617074705
SST,0.75,DC-SBM,9,0.7837305325429952,1.2396172142128967,0.5151407403141466,0.24074074074074076,2.1666666666666665,5583.099852222581,0.0279870265745972
SST,1.5,WST,9,0.8966759845079275,0.3323491551310663,0.14557969632650256,0.6481481481481481,0.46296296296296297,7561.7692878189055,0.009667294413057123
SST,1.5,SST,9,0.8826172560227882,0.34524786260945994,0.14895830560318482,0.5740740740740741,0.5,7554.679942147122,0.008563507009834699
SST,1.5,DC-SBM,9,0.8390198229755115,0.5332108686779068,0.21551339788879634,0.3888888888888889,1.0555555555555556,7600.368398090012,0.013151286880100444
SST,3,WST,9,0.968342123375699,0.11833691311876368,0.06441184623608903,0.8981481481481481,0.10185185185185186,9893.414552076856,0.003907721280602637
SST,3,SST,9,0.9696341992337605,0.1291134103596422,0.07086418963457322,0.9351851851851852,0.06481481481481483,9885.337924901687,0.0035624607658505973
SST,3,DC-SBM,9,0.9366105570128211,0.1874454384475988,0.08980248090259699,0.7129629629629629,0.32407407407407407,9923.449806322189,0.0035206110064867143
SST,6,WST,9,0.9836258751576965,0.04512667341983258,0.024482524433880014,0.9629629629629629,0.03703703703703704,13074.510010919019,0.0010253191044151495
SST,6,SST,9,0.9836258751576965,0.04512667341983258,0.024482524433880014,0.9629629629629629,0.03703703703703704,13067.049401633285,6.486712701401978e-4
SST,6,DC-SBM,9,0.95814972174227,0.08983018608458157,0.04087089367945965,0.8518518518518519,0.1851851851851852,13129.294071688684,3.55722954593011e-4
