Gen,$K^\star$,Density,Hierarchy,Model,$\widehat\zeta_W^{blk}$,$\widehat\zeta_S^{blk}$,Block coverage,Violation mean,Violation $\hat z$,$p_{post}(WST)$,$p_{post}(SST)$
SST,4,dense,strong,DC-SBM,1.000,0.750,1.000,0.284,0.467,--,--
SST,4,dense,strong,SST,1.000,0.750,1.000,0.284,0.467,--,--
SST,4,dense,strong,WST,1.000,0.750,1.000,0.284,0.467,--,--
SST,4,dense,weak,DC-SBM,--,--,--,--,--,--,--
SST,4,dense,weak,SST,1.000,0.294,0.920,0.450,0.448,--,--
SST,4,dense,weak,WST,1.000,0.255,0.911,0.449,0.448,--,--
SST,4,sparse,strong,DC-SBM,--,--,--,0.295,0.283,--,--
SST,4,sparse,strong,SST,1.000,0.796,0.728,0.309,0.298,--,--
SST,4,sparse,strong,WST,0.934,0.499,0.739,0.320,0.311,--,--
SST,4,sparse,weak,DC-SBM,--,--,--,0.550,--,--,--
SST,4,sparse,weak,SST,--,--,--,0.420,--,--,--
SST,4,sparse,weak,WST,--,--,--,0.423,--,--,--
SST,8,dense,strong,DC-SBM,1.000,0.812,0.701,0.382,0.591,--,--
SST,8,dense,strong,SST,1.000,0.732,0.702,0.377,0.590,--,--
SST,8,dense,strong,WST,0.999,0.625,0.828,0.379,0.590,--,--
SST,8,dense,weak,DC-SBM,0.971,0.556,0.910,0.479,0.526,--,--
SST,8,dense,weak,SST,0.971,0.446,0.879,0.470,0.523,--,--
SST,8,dense,weak,WST,0.975,0.444,0.881,0.469,0.533,--,--
SST,8,sparse,strong,DC-SBM,1.000,0.152,0.995,0.379,0.686,--,--
SST,8,sparse,strong,SST,0.966,0.343,0.734,0.344,0.693,--,--
SST,8,sparse,strong,WST,0.879,0.324,0.617,0.355,0.689,--,--
SST,8,sparse,weak,DC-SBM,--,--,--,0.567,0.556,--,--
SST,8,sparse,weak,SST,0.859,0.543,0.568,0.446,0.550,--,--
SST,8,sparse,weak,WST,0.861,0.430,0.699,0.436,0.550,--,--
WST,4,dense,strong,DC-SBM,1.000,0.000,1.000,0.287,0.695,--,--
WST,4,dense,strong,SST,1.000,0.250,1.000,0.286,0.698,--,--
WST,4,dense,strong,WST,1.000,0.250,1.000,0.286,0.698,--,--
WST,4,dense,weak,DC-SBM,--,--,--,0.446,0.554,--,--
WST,4,dense,weak,SST,1.000,0.527,0.924,0.445,0.554,--,--
WST,4,dense,weak,WST,1.000,0.000,0.974,0.447,0.550,--,--
WST,4,sparse,strong,DC-SBM,--,--,--,0.208,0.795,--,--
WST,4,sparse,strong,SST,1.000,0.770,0.965,0.215,0.778,--,--
WST,4,sparse,strong,WST,1.000,0.711,0.957,0.256,0.778,--,--
WST,4,sparse,weak,DC-SBM,--,--,--,--,--,--,--
WST,4,sparse,weak,SST,0.968,0.559,0.713,0.442,0.564,--,--
WST,4,sparse,weak,WST,1.000,0.693,0.575,0.442,0.562,--,--
WST,8,dense,strong,DC-SBM,1.000,0.513,1.000,0.241,0.531,--,--
WST,8,dense,strong,SST,1.000,0.700,1.000,0.231,0.537,--,--
WST,8,dense,strong,WST,1.000,0.600,1.000,0.231,0.539,--,--
WST,8,dense,weak,DC-SBM,--,--,--,0.433,0.567,--,--
WST,8,dense,weak,SST,0.794,0.430,0.687,0.446,0.503,--,--
WST,8,dense,weak,WST,0.851,0.379,0.777,0.446,0.524,--,--
WST,8,sparse,strong,DC-SBM,1.000,0.970,1.000,0.211,0.441,--,--
WST,8,sparse,strong,SST,1.000,0.711,1.000,0.213,0.441,--,--
WST,8,sparse,strong,WST,1.000,0.896,0.995,0.226,0.441,--,--
WST,8,sparse,weak,DC-SBM,--,--,--,--,--,--,--
WST,8,sparse,weak,SST,--,--,--,0.417,--,--,--
WST,8,sparse,weak,WST,--,--,--,0.420,--,--,--
