Gen,$K^\star$,Density,Hierarchy,Rep,Model,ELPD (SE),$\Delta$ELPD (SE),$|\Delta|>2SE$,LOOIC,PSIS $k>0.7$,ELPD winner
SST,4,kappa_5,verystrong,1,WST,-2536.7 (33.6),-4.9 (1.8),\checkmark,5073.3,0.00,
SST,4,kappa_5,verystrong,1,DC-SBM,-2533.7 (34.1),-1.9 (1.3),,5067.4,0.00,
SST,4,kappa_5,verystrong,1,SST,-2531.8 (34.0),0.0 (0.0),,5063.6,0.00,\checkmark
SST,4,kappa_5,verystrong,2,WST,-2467.0 (32.3),-3.7 (2.2),,4934.0,0.00,
SST,4,kappa_5,verystrong,2,SST,-2465.0 (32.9),-1.6 (2.1),,4930.0,0.00,
SST,4,kappa_5,verystrong,2,DC-SBM,-2463.3 (32.9),0.0 (0.0),,4926.7,0.00,\checkmark
WST,4,kappa_5,verystrong,1,WST,-2316.5 (30.8),-9.3 (4.3),\checkmark,4632.9,0.00,
WST,4,kappa_5,verystrong,1,DC-SBM,-2308.4 (32.5),-1.2 (2.3),,4616.8,0.00,
WST,4,kappa_5,verystrong,1,SST,-2307.2 (32.6),0.0 (0.0),,4614.4,0.00,\checkmark
WST,4,kappa_5,verystrong,2,WST,-2153.6 (39.6),-8.9 (5.3),,4307.1,0.00,
WST,4,kappa_5,verystrong,2,DC-SBM,-2146.2 (41.0),-1.6 (3.7),,4292.5,0.00,
WST,4,kappa_5,verystrong,2,SST,-2144.6 (40.9),0.0 (0.0),,4289.2,0.00,\checkmark
